SpeciesUID,Nc_wright,Nc_nov
4,58.407057272197925,62.759898420912684
5,59.55904178076073,62.88137963510111
9,57.58790587922263,62.440362213574815
12,57.26122617892592,62.388290023165695
14,56.111627272239524,62.28635311920745
15,57.29787688567867,62.42550122030347
16,57.36870902615745,62.466094513517206
18,57.0420375885692,62.372194421461714
20,57.46406299099017,62.51870232932931
22,57.09809331724866,62.59807061564962
23,57.177090646006675,62.086151267352875
25,56.39449199961171,62.448435230489686
28,57.02297891301246,62.44413959233792
29,56.950854836729334,62.406794582844306
31,56.47876730788429,62.299330808335824
35,57.32650796222855,62.50338279857655
36,56.49384158950329,62.31819724452912
38,56.85656596578801,62.32417115284403
40,56.33620241137891,62.42751006612279
41,58.75321801673022,63.05882013494592
42,55.04745689460242,61.82942417782412
43,57.07784053393042,62.384485837391225
45,57.438612621186444,62.46860967429487
46,57.364962080860735,62.4486784933804
47,57.49600065749744,62.500218081833395
49,56.535532440968716,62.51611991028481
50,56.727558802780706,62.26307523589267
51,56.4485998813653,62.495857299202065
53,56.94677323841493,62.71887971009906
54,56.983731475778974,62.546838016960365
55,57.028237552218904,62.567876711457586
57,56.31365000686884,62.33192346526342
58,55.87522989051866,62.292975993803005
59,56.921170833414,62.489520861673086
60,57.67545300709014,62.51047937861879
61,55.83345135519524,62.33950860151273
62,55.494896453486135,62.624578454556556
63,55.24090319438521,62.41332035072669
65,57.15801998520435,62.46291439715922
67,57.382849558006704,62.480640333103125
68,57.348050445958236,62.417819947190445
69,56.789121893614144,62.36290196484369
72,58.79272333950911,63.05097098103912
73,56.04580772697395,62.420846770040015
75,56.457571163122,62.36862988406699
76,56.93576738916197,62.63945787080836
77,57.18904436093317,62.5283059768056
80,57.35336732308973,62.4964535059936
82,56.76637525805862,62.370873182500034
83,56.33939578214866,62.4198176949415
84,53.910289839453505,62.469226354563965
86,58.85723640207284,63.05177117530769
87,54.606050960013576,61.7702742108262

407,57.204946858557506,62.398383572179036
408,57.46364464732895,62.53593025758103
409,56.581052527707655,62.423672012089064
410,56.44005683495053,62.312581967484846
411,56.67258156485783,62.33728485079392
412,56.69039459818361,62.351168314905024
413,56.67876319304149,62.37499938760933
414,57.083874583234746,62.40200346567657
415,57.13504295036797,62.285632386340836
416,57.2817857738,62.427047083537175
417,57.97420225653802,62.519575207308705
418,56.96419925189479,62.38643542085606
420,56.95992276448967,62.34276828527751
421,55.70415789451473,62.35653150264699
423,57.638747658371784,62.49324060751442
424,56.05678088580956,62.30319434310608
425,56.52247154583401,62.28967264845382
427,56.57177724671204,62.28510533039497
429,57.05119149501911,62.347660145537844
430,56.037933539227865,62.368451684135266
431,57.15318191684743,62.46847156608477
433,57.37308245446372,62.567627316664115
434,57.127472944037244,62.52622808122528
437,56.92410336949153,62.40801466557454
438,56.75051515837161,62.36385204094121
439,56.55361098189082,62.3619032238073
442,56.47233932360833,62.29909129702885
445,57.596374562872604,62.501694236663255
446,57.71866195365277,62.49973334209932
447,57.83847435117492,62.32011943411827
450,57.39576555625639,62.242567759560615
452,54.411465342063515,62.21677680326795
453,58.44278846697207,62.6511150220054
455,57.42799498654092,62.572459002613186
461,58.69861097218343,62.89983510373129
463,58.73271918335545,62.90414388932611
467,56.123977079374555,62.15173274030398
468,58.433149771508475,62.90521402997507
469,58.485592061856494,62.75198269473413
470,59.06722928471933,62.96867751307876
471,57.0288357404558,62.63842715210545
472,58.667521452484806,62.92753885489742
474,58.90387453932209,62.9167743715347
475,58.38560751868146,62.95715565022279
477,58.59305084360271,62.973857770474396
478,52.43333640994197,62.09674264466983
480,58.577528643278185,62.812030823623594
481,57.450043142432115,62.65272988036219
482,58.171114670328755,62.71869922832451
483,58.5362215515271,63.02265627510995
484,58.59839751178694,62.85489132794302
485,56.14491606406453,61.981159710811006
486,57.492749833366005,62.18065034117229
488,53.84907407099164,62.12459873104774
489,58.719851121177214,62.9132634783212
491,58.554621408535,62.876138476008116
492,58.689549056294304,62.93748845040998
493,53.38589337517615,61.844767574849975
496,59.107723147087,63.08009056629895
497,56.15927175640663,62.44269049723145
498,58.04045657443002,62.97058859609268
499,58.88726626897696,62.866466941451705
502,57.060729758515905,62.38074834968279
503,54.24788467280843,62.06988128457414
506,57.73536583825203,62.62043050645616
